C#,CNAME,PERIOD,CREDIT,TEACHER
GNED110400,大学生心理健康与自我调适,32.0,2.0,"吴梦瑶,康楠,刘可馨,姚斌"
SOCP100190,课外实践8学分,0.0,8.0,"刘莹,郑向国"
GNED106292,大学生创业训练与实践,32.0,2.0,沈人杰
GNED106392,大学生职业发展与规划,32.0,2.0,郑旭红
GNED106492,国际化视野及能力培养提升,32.0,2.0,"徐东海,郑旭红,许明"
GNED115200,在线开放课程助教,0.0,0.0,教务系统管理员
BSIS400121,毕业设计（论文）,128.0,8.0,赵炜
INFT500121,计算机基础,16.0,1.0,贾应智
JZSJ900121,中国传统文化实践-2,16.0,1.0,孙立滨
LITE101021,中国概况,32.0,2.0,杨杨
LITE101121,当代影视鉴赏,32.0,2.0,张知倞
LITE101321,简明中国历史,32.0,2.0,路荣
LITE200321,汉语综合课2,96.0,6.0,杨杨
LITE200521,汉语听说2,64.0,4.0,李馨郁
LITE302321,口腔医学汉语2,64.0,4.0,海莹
LITE302721,汉语听力2,64.0,4.0,冯潇
LITE303021,汉语口语2,128.0,8.0,马春燕
LITE303221,综合医学汉语2,64.0,4.0,苗渲培
LITE303721,综合医学汉语4,64.0,4.0,谈芳
LITE304421,初级汉语听力2,64.0,4.0,王美玲
LITE304621,中级汉语听说2,64.0,4.0,冯潇
LITE305021,中级汉语写作2,32.0,2.0,李馨郁
LITE305321,基础医学汉语2,64.0,4.0,苗渲培
LITE305421,初级汉语口语2,96.0,6.0,刘莹
LITE305621,综合医学汉语6,64.0,4.0,蒋平福
LITE305821,中级汉语阅读2,64.0,4.0,刘莹
LITE306121,HSK四级综合课,160.0,10.0,谈芳
LITE306221,口腔医学汉语4,64.0,4.0,李丹丹
LITE306321,口腔医学汉语6,64.0,4.0,海莹
LITE306821,综合医学汉语8,64.0,4.0,戴艳茹
LITE306921,口腔医学汉语8,64.0,4.0,杨伟奇
LITE307021,汉语综合-2,64.0,4.0,张知倞
LITE401121,初级汉语精读2,160.0,10.0,孙玉茜
LITE401421,中级汉语精读2,128.0,8.0,路荣
LITE401521,高级汉语综合2,64.0,4.0,刘莹
LITE401821,现代汉语2,32.0,2.0,冯潇
LITE402321,商务对话-2,64.0,4.0,王美玲
LITE402421,商务汉语写作-2,32.0,2.0,李馨郁
LITE402621,商务汉语综合-2,96.0,6.0,赵炜
LITE501121,中国经济与对外贸易概况,32.0,2.0,杨杨
LITE501321,汉字概论,32.0,2.0,李馨郁
LITE502121,商务新闻阅读,32.0,2.0,孙玉茜
LITE502221,中国古代文学,32.0,2.0,马春燕
MATH400121,文科高等数学,64.0,4.0,贾应智
AUTO544905,工业社会学,24.0,1.5,陈天宁
CORE102600,创新思维和机器人创客实践,48.0,3.0,"张英杰,张政,徐海波"
FEES300101,工程光学I,48.0,3.0,"黄军辉,王兰兰"
FEES400101,食品化学,56.0,3.0,"彭锦峰,张璐薇"
FEES400301,微生物学,32.0,2.0,"薛晚利,代秉玲"
FEES400501,微生物学实验,32.0,1.0,张璐薇
FEES500101,食品工艺学,64.0,3.0,"谢玫珍,张璐薇,李珂嘉"
GNED100401,项目管理,32.0,2.0,陈富民
GNED100601,面向创业的机电产品创新设计,48.0,2.0,"张俊,桂亮,李宝童,金悦"
GNED100701,数字化设计与制造软件应用基础,40.0,2.0,许睦旬
GNED100901,先进制造之美,32.0,2.0,"蒋维涛,梁庆宣"
GNED101001,艺术设计思维与实践,32.0,2.0,"李萌,杨增耀"
GNED101101,人工智能导论,40.0,2.0,"张小栋,秦立果"
INDE000701,工业设计导论,16.0,1.0,"张煜,李萌,杨增耀,李宏伟,蔺肖曼,陈天宁"
INDE300601,机械设计基础Ⅲ,48.0,2.5,奚延辉
INDE400101,工业社会学,32.0,2.0,孙孝飞
INDE400601,设计调查,32.0,2.0,杨增耀
INDE401401,设计造型Ⅱ,48.0,2.0,蔺肖曼
INDE401501,工业设计心理学基础,40.0,2.0,张煜
INDE401601,人因素和人机学,48.0,2.5,李宏伟
INDE500801,人机界面设计,40.0,2.0,杨增耀
INDE500901,工业大数据处理与程序设计,40.0,2.0,卫颜俊
INDE501001,Web编程技术,40.0,2.0,谢涛
INDE900201,工业设计实践Ⅱ-5,32.0,1.0,杨增耀
INDE900301,工业设计实践Ⅱ-2,32.0,1.0,张煜
INDE900801,工业设计实践Ⅰ-5,32.0,1.0,李宏伟
INDE901001,工业设计实践Ⅰ-2,32.0,1.0,蔺肖曼
INSM000101,测控技术导论,16.0,1.0,"赵立波,杨青,赵宏,彭年才,彭锦峰,梁霖,景蔚萱"
INSM302001,工程光学II-2,40.0,2.5,贾书海
INSM302201,误差理论与数据处理,32.0,2.0,李支康
INSM401201,无线传感网络技术,24.0,1.5,韦学勇
INSM401501,测试技术,48.0,2.0,"徐光华,李敏"
INSM401601,MEMS技术及应用,40.0,2.0,卢德江
INSM401801,数字图像处理,40.0,2.0,赵自新
INSM501901,智能仪器与虚拟仪器设计,52.0,3.0,"侯成刚,陶唐飞"
INSM502001,设备监测与诊断技术及应用,36.0,1.5,"徐光华,梁霖"
INSM502101,机床精密测量与动态测试,40.0,2.0,"李兵,丁建军"
INSM900101,仪器设计综合性实验-1,80.0,2.5,"侯成刚,刘弹"
INSM900301,工程光学专题实验,16.0,0.5,胡改玲
ITDE500601,模具设计与制造工艺,56.0,2.0,臧顺来
ITDE500701,CDIO项目实践,56.0,2.0,段玉岗
JZSJ900101,光电检测专题实验,32.0,1.0,"张璐薇,李珂嘉"
